"MATERIAL BASICO","UNIDAD DE OBRA",SUBCAPITULO,CAPITULO
CODIGO,ud,"NOMBRE MATERIAL",CANTIDAD,PRECIO,IMPORTE,CODIGO,ud,NOMBRE,CANTIDAD,CODIGO,NOMBRE,CODIGO,NOMBRE
P01CY010,t,"Yeso negro en sacos YG",0.609705,E11RMR010,m2,"TARIMA ROBLE SOBRE RASTREL 120/140x19mm.",79.7," "," ",E11#,PAVIMENTOS
P01DW050,m3,Agua,0.168399,E07TLB040,m2,"TABICÓN LHD 9cm INT.MORTERO BASTARDO BLANCO",49.5," "," ",E07#,"CERRAMIENTOS Y DIVISIONES"
P01DW050,m3,Agua,0.06804,E07RC010,m2,"RECIBIDO CERCOS EN TABIQUES C/YESO",12.6," "," ",E07#,"CERRAMIENTOS Y DIVISIONES"
P01DW050,m3,Agua,0.43038,E11RMR010,m2,"TARIMA ROBLE SOBRE RASTREL 120/140x19mm.",79.7," "," ",E11#,PAVIMENTOS
P01DW050,m3,Agua,0.1039839,E08PKW020,m2,"MALLA MORTERO",203.89," "," ",E08#,"REVESTIMIENTOS Y FALSOS TECHOS"
P01DW050,m3,Agua,0.03434,E11ECB035,m2,"SOLADO BALDOSÍN CATALÁN 20x20cm C/RODAPIÉ",40.4," "," ",E11#,PAVIMENTOS
P01DW050,m3,Agua,0.5151,E11ECB035,m2,"SOLADO BALDOSÍN CATALÁN 20x20cm C/RODAPIÉ",40.4," "," ",E11#,PAVIMENTOS
P01DW050,m3,Agua,0,E07RC040,m2,"RECIBIDO CERCOS EN MURO EXTERIOR A REVESTIR",0," "," ",E07#,"CERRAMIENTOS Y DIVISIONES"
P01DW050,m3,Agua,0,E07RE020,m2,"RECIBIDO REJA EN FABRICA LADRILLO MORTERO",0," "," ",E07#,"CERRAMIENTOS Y DIVISIONES"
P01DW050,m3,Agua,0.0234,E09ISB020,u,"REMATE CHIMENEA P/FÁBRICA REVEST.",2," "," ",E09#,CUBIERTAS
P01DW050,m3,Agua,0.0663,E06PA010,m,"ALBARDILLA PIEDRA CALIZA 40x10cm",32.5," "," ",E06#,"PIEDRA NATURAL"
P01DW050,m3,Agua,0.049929,E09ISD140,m,"CUMBRERA/LIMA TEJA PLANA",9.79," "," ",E09#,CUBIERTAS
P01DW050,m3,Agua,0.028509,E09ISJ010,m,"BABERO ZINC 40 cm",11.18," "," ",E09#,CUBIERTAS
P01DW050,m3,Agua,0.1782,E07TLB040,m2,"TABICÓN LHD 9cm INT.MORTERO BASTARDO BLANCO",49.5," "," ",E07#,"CERRAMIENTOS Y DIVISIONES"
P01DW050,m3,Agua,2.0389,E08PKC020,m2,"REVESTIMIENTO DECORATIVO CAL AÉREA",203.89," "," ",E08#,"REVESTIMIENTOS Y FALSOS TECHOS"
P01DW050,m3,Agua,1,E08PKC020,m2,"REVESTIMIENTO DECORATIVO CAL AÉREA",100," "," ",E11#,PAVIMENTOS
P01DW090,m,"Pequeño material",35.1,E16CLA040,m2,"SECURIT INCOLORO 8 mm",23.4," "," ",E16#,"VIDRIERÍA Y TRASLÚCIDOS"
P01DW090,m,"Pequeño material",1.5,E16CPA010,u,"PUERTA TEMPLADA INCOL. 2190x896",1," "," ",E16#,"VIDRIERÍA Y TRASLÚCIDOS"
P01DW090,m,"Pequeño material",16.47,E16EGD030,m2,"AISLAGLAS GUARDIAN SUN NEUTRO 6/10,12,16/4",10.98," "," ",E16#,"VIDRIERÍA Y TRASLÚCIDOS"
P01DW090,m,"Pequeño material",19.92,E16EGD040,m2,"AISLAGLAS GUARDIAN SUN NEUTRO 4/10,12,16/33.1",13.28," "," ",E16#,"VIDRIERÍA Y TRASLÚCIDOS"
P01EFB040,m3,"Pino Valsaín c/III-65 <8m sin secar",1.20328,E10AET310,m2,"AISLAMIENTO CORCHO NEGRO EN PLACAS 160 mm CUBIERTA",92.56," "," ",E10#,"AISLAMIENTO E IMPERMEABILIZACIÓN"
P01ELV020,m2,"Tablero OSB 15 mm",159.62,E05MC031,m2,"TABLERO DE CUBIERTA",138.8," "," ",E05#,ESTRUCTURAS
P01EM290,m3,"Madera pino encofrar 26 mm",3.872,E05HLA010,m3,"HA-25/P/20 ENCOFRADO MADERA LOSAS (85 kg/m3)",1,E33M#,"SUPERCAPITULO DEL E33L#",E03#,"RED DE SANEAMIENTO"
P01EM290,m3,"Madera pino encofrar 26 mm",0,E05HLA010,m3,"HA-25/P/20 ENCOFRADO MADERA LOSAS (85 kg/m3)",0,E05H#,"ESTRUCTURAS DE HORMIGÓN",E05#,ESTRUCTURAS
P01EW620,u,"Material de ensamble estructural",154.1,E05ML071,m3,"MADERA LAMINADA",15.41," "," ",E05#,ESTRUCTURAS
P01EW630,m3,"Madera laminada en estructura",16.951,E05ML071,m3,"MADERA LAMINADA",15.41," "," ",E05#,ESTRUCTURAS
P01FA056,t,"M.cola int.p/baldosas sin deslizamiento gris Anexo ZA",0.09363,E12AC020,m2,"ALICATADO AZULEJO BLANCO 15x15cm REC.ADHESIVO",31.21," "," ",E12#,"ALICATADOS, CHAPADOS Y PREFABRICADOS"
P01FA360,kg,"Adh. cementoso solado int. s/mortero C1",0,E12AC040,m2,"ALICATADO AZULEJO COLOR 15x15cm REC.ADHESIVO",0," "," ",E27#,"PINTURAS Y TRAT. ESPECÍFICOS"
P01FJ016,t,"M.int/ext.ceram. junta fina bl. CG1",0.03121,E12AC020,m2,"ALICATADO AZULEJO BLANCO 15x15cm REC.ADHESIVO",31.21," "," ",E12#,"ALICATADOS, CHAPADOS Y PREFABRICADOS"
P01FJ065,kg,"Lechada blanca CG1",0,E12AC040,m2,"ALICATADO AZULEJO COLOR 15x15cm REC.ADHESIVO",0," "," ",E27#,"PINTURAS Y TRAT. ESPECÍFICOS"
P01HA010,m3,"Hormigón HA-25/P/20/I central",17.789,E04SA010,m2,"SOLERA HA-25, 10cm ARMADO #15x15x5",177.89," "," ",E04#,CIMENTACIONES
P01HA010,m3,"Hormigón HA-25/P/20/I central",40.656,E05HLA010,m3,"HA-25/P/20 ENCOFRADO MADERA LOSAS (85 kg/m3)",1,E33M#,"SUPERCAPITULO DEL E33L#",E03#,"RED DE SANEAMIENTO"
P01HA010,m3,"Hormigón HA-25/P/20/I central",0,E05HLA010,m3,"HA-25/P/20 ENCOFRADO MADERA LOSAS (85 kg/m3)",0,E05H#,"ESTRUCTURAS DE HORMIGÓN",E05#,ESTRUCTURAS
P01HA021,m3,"Hormigón HA-25/P/40/IIa central",18.216,E04CA100,m3,"HORMIGÓN ARMADO HA-25/P/40/IIa V.BOMBA",15.84," "," ",E04#,CIMENTACIONES
P01HB021,m3,"Bomb.hgón. 56a75 m3, pluma 36m",15.84,E04CA100,m3,"HORMIGÓN ARMADO HA-25/P/40/IIa V.BOMBA",15.84," "," ",E04#,CIMENTACIONES
P01HB090,h,"Desplazamiento bomba",0.2376,E04CA100,m3,"HORMIGÓN ARMADO HA-25/P/40/IIa V.BOMBA",15.84," "," ",E04#,CIMENTACIONES
P01HM010,m3,"Hormigón HM-20/P/20/I central",5.94,E04CM090,m3,"HORMIGÓN LIMP. HM-20/P/20/I  V. GRÚA",5.94," "," ",E04#,CIMENTACIONES
P01HM020,m3,"Hormigón HM-20/P/40/I central",0.252,E03ALA010,u,"ARQUETA LADRILLO PIE/BAJANTE 38x38x50cm",6," "," ",E03#,"RED DE SANEAMIENTO"
P01HM020,m3,"Hormigón HM-20/P/40/I central",0.294,E03ALR020,u,"ARQUETA LADRILLO REGISTRO 38x38x50 cm",7," "," ",E03#,"RED DE SANEAMIENTO"
P01HM020,m3,"Hormigón HM-20/P/40/I central",0.118,E03ALR040,u,"ARQUETA LADRILLO REGISTRO 51x51x65 cm",2," "," ",E03#,"RED DE SANEAMIENTO"
P01HM020,m3,"Hormigón HM-20/P/40/I central",0.158,E03ALR060,u,"ARQUETA LADRILLO REGISTRO 63x63x80 cm",2," "," ",E03#,"RED DE SANEAMIENTO"
